сity;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Оболонський; вул. Кондратюка Юрія;6;50.5246696;30.463834;Найпростіші укриття;Підвал;Адмін. будівля;КМКДЦ;Комунальна;502-34-62;Відсутній
м.Київ;Оболонський; вул. Кондратюка Юрія;7;50.52608905374599;30.462020395849805;Найпростіші укриття;Підвал;Житловий будинок;ТОВ «Київська КК»;Приватна;227-26-35;Відсутній
м.Київ;Оболонський; вул. Кондратюка Юрія;8;50.5249387;30.4640318;Найпростіші укриття;Підвал;Адмін. будівля;КМКЛ № 8;Комунальна;502-37-37;Відсутній
м.Київ;Оболонський; вул. Лісна;28;50.54157281031454;30.356981684210513;Найпростіші укриття;Підвал;Школа;ЗЗСО І-ІІІ ст. № 104;Комунальна;401-81-48;Відсутній
м.Київ;Оболонський; вул. Лугова  завод «Лакма»;;50.5057835;30.4641441;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський;вул. Лугова ДБК-4;;50.506025;30.4692857;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський;вул. Лугова ДОК-6;;50.506784;30.4745885;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський; вул. Макіївська;5;50.50765784512952;30.453901728389006;Найпростіші укриття;Підвал;Школа;ЗЗСО № 14;Комунальна;430-81-61;Відсутній
м.Київ;Оболонський; вул. Максименка Федора;10;50.52866860465565;30.365005482357965;Найпростіші укриття;Підвал;Житловий будинок;ОД-508;Комунальна;338-31-25;Відсутній
м.Київ;Оболонський; вул. Максименка Федора;4;50.52803508623128;30.36630982653796;Найпростіші укриття;Підвал;Житловий будинок;ОД-508;Комунальна;338-31-25;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;1-Б;50.507347718201444;30.49154441198909;Найпростіші укриття;Підвал;Дитячий садок;ДНЗ № 585;Комунальна;418-27-10;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;11;50.5024538;30.4925351;Найпростіші укриття;Підвал;Житловий будинок;Підземшляхбудівець;Приватна;419-78-12;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;11;50.5027131;30.4921113;Найпростіші укриття;Підвал;Житловий будинок;«Механізатор-4»;Приватна;095-406-37-67;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;25;50.5032671;30.5048733;Найпростіші укриття;Підвал;Житловий будинок;ОД-502;Комунальна;338-30-89;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;27/2 (12-14 підїзд);50.5062321;30.5076433;Найпростіші укриття;Підвал;Житловий будинок;Мистецтвоознавець;Приватна;096-453-74-61;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;27/23 (1-4 підїзд);50.5060846;30.5075307;Найпростіші укриття;Підвал;Житловий будинок;Дзержинец;Приватна;419-30-27;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;27/23 (5-7 підїзд);50.5061357;30.5075709;Найпростіші укриття;Підвал;Житловий будинок;Прмбудівельник-2;Приватна;410-85-32;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;27/23 (8-11 підїзд);50.5061809;30.5076058;Найпростіші укриття;Підвал;Житловий будинок;Аерофлот-2;Приватна;418-71-98;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;3-А;50.5067237;30.4930942;Найпростіші укриття;Підвал;Житловий будинок;ОД-503;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;3-Б;50.5067902;30.4939875;Найпростіші укриття;Підвал;Житловий будинок;Суднобудівник-2;Приватна;067-795-82-45;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;32-А;50.50261110775837;30.507166199552834;Найпростіші укриття;Підвал;Житловий будинок;ОД-501;Комунальна;338-30-91;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;34;50.503512;30.5062931;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський; вул. Малиновського Маршала;4-В;50.50276490726941;30.49063462653687;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;ТОВ Аркада Житлосервіс;Приватна;067-354-54-89;В наявності
м.Київ;Оболонський; вул. Малиновського Маршала;7;50.5050572;30.4919578;Найпростіші укриття;Підвал;Житловий будинок;ОД-503;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Миколи Юнкерова;55;50.5434943;30.3459382;Найпростіші укриття;Підвал;Школа;Інтернат № 4;Комунальна;401-93-81;Відсутній
м.Київ;Оболонський; вул. Міська;1-а;50.52742300843653;30.367300826537985;Найпростіші укриття;Підвал;Адмін. будівля;УСДРЗН МОЗ;Комунальна;205-06-00;Відсутній
м.Київ;Оболонський; вул. Оболонська Набережна;1;50.4915317;30.5271477;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;ТОВ Сл. Експл. «Респект»;Приватна;500-40-83;В наявності
м.Київ;Оболонський; вул. Навашина Академіка;4;50.52002603842784;30.45178565537363;Найпростіші укриття;Підвал;Житловий будинок;ОД-507;Комунальна;338-30-87;Відсутній
м.Київ;Оболонський; вул. Новоконстянт. - вул. Тульчинська;;50.4864465;30.4821942;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський; вул. Тимошенка Маршала ;29;50.5129408496644;30.50478174188134;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;ТОВ «Житлобуд-1»;Приватна;464-65-44;В наявності
м.Київ;Оболонський; вул. Оболонська Набережна;11;50.4956344;30.5228569;Найпростіші укриття;Підвал;Житловий будинок;ТОВ «Експ-на компанія»;Приватна;230-89-07;Відсутній
м.Київ;Оболонський; вул. Оболонська Набережна;15;50.4986507;30.5204188;Найпростіші укриття;Підвал;Житловий будинок;ТОВ «Експ-на компанія»;Приватна;230-89-07;Відсутній
м.Київ;Оболонський; вул. Оболонська Набережна;19;50.5002515;30.5186969;Найпростіші укриття;Підвал;Житловий будинок;ТОВ «Експ-на компанія»;Приватна;230-89-07;Відсутній
м.Київ;Оболонський; вул. Оболонська Набережна;19;50.4999853;30.5189062;Найпростіші укриття;Підвал;Житловий будинок;ТОВ «Експ-на компанія»;Приватна;230-89-07;Відсутній
м.Київ;Оболонський; вул. Оболонська Набережна;19;50.4997874;30.5191583;Найпростіші укриття;Підвал;Житловий будинок;«Оазис-19»;Приватна;050-330-95-01;Відсутній
м.Київ;Оболонський; вул. Оболонська Набережна;3;50.4922806;30.5256467;Найпростіші укриття;Підвал;Житловий будинок;ТОВ «Експ-на компанія»;Приватна;230-89-07;Відсутній
м.Київ;Оболонський; вул. Оболонська Набережна;7;50.4939426;30.5246459;Найпростіші укриття;Підвал;Житловий будинок;«Оболонська 7-я»;Приватна;050-675-35-52;Відсутній
м.Київ;Оболонський; вул. Озерна;10;50.52319712126326;30.49022088420968;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Озерна;16;50.52503045726509;30.493031513045853;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Озерна;18;50.52409448129649;30.492407326537787;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-30-91;Відсутній
м.Київ;Оболонський; вул. Озерна;2;50.5245626;30.4887278;Найпростіші укриття;Підвал;Школа;ЗЗСО І-ІІІ ст. № 168;Комунальна;412-10-41;Відсутній
м.Київ;Оболонський; вул. Озерна;24;50.5250449;30.4957584;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Озерна;26;50.52408786039857;30.495160268865703;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Озерна;6;50.525060398727256;30.490225267013827;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Озерна;8;50.52406928138395;30.48960964002974;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-30-91;Відсутній
м.Київ;Оболонський; вул. Панча Петра;7-А;50.5159329;30.4653365;Найпростіші укриття;Підвал;Дитячий садок;ДНЗ № 580;Комунальна;464-24-24;Відсутній
м.Київ;Оболонський; вул. Північна;2-А;50.5271163;30.5007662;Найпростіші укриття;Підвал;Житловий будинок;ОД-505;Комунальна;338-30-95;Відсутній
м.Київ;Оболонський; вул. Північна;26;50.52714516832871;30.509734684209924;Найпростіші укриття;Підвал;Школа;ЗЗСО І-ІІІ ст. № 245;Комунальна;411-44-03;Відсутній
м.Київ;Оболонський; вул. Північна;4-А;50.52701326869101;30.503069297701913;Найпростіші укриття;Підвал;Адмін. будівля;КНП «ЦПМСД» №1;Комунальна;411-50-36;Відсутній
м.Київ;Оболонський; вул. Північна;48;50.527512451153534;30.511538813045988;Найпростіші укриття;Підвал;Житловий будинок;ОД-505;Комунальна;338-30-95;Відсутній
м.Київ;Оболонський; вул. Північна;50;50.5275551305571;30.512435684209905;Найпростіші укриття;Підвал;Житловий будинок;ОД-505;Комунальна;338-30-95;Відсутній
м.Київ;Оболонський; вул. Північна;52;50.52762356905444;30.513255040029897;Найпростіші укриття;Підвал;Житловий будинок;ОД-505;Комунальна;338-30-95;Відсутній
м.Київ;Оболонський; вул. Північна;54-А;50.52743195147938;30.515643082358;Найпростіші укриття;Підвал;Житловий будинок;«Крестал-5»;Приватна;067-309-76-23;Відсутній
м.Київ;Оболонський; вул. Північна;54-Б;50.526593;30.515391;Найпростіші укриття;Підвал;Житловий будинок;«Крестал-5»;Приватна;067-309-76-23;Відсутній
м.Київ;Оболонський; вул. Північна;6;50.527650591417206;30.503887868865885;Найпростіші укриття;Підвал;Житловий будинок;ОД-505;Комунальна;338-30-95;Відсутній
м.Київ;Оболонський; вул. Північна;8;50.527236388540146;30.506186913045973;Найпростіші укриття;Підвал;Школа;ЗЗСО І-ІІІ ст. № 170;Комунальна;411-52-68;Відсутній
м.Київ;Оболонський; вул. Полярна;20;50.5176554;30.4742426;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський; вул. Полярна;3 (1-підїзд);50.5211283;30.452479;Найпростіші укриття;Підвал;Житловий будинок;Автомобіль;Приватна;430-16-30;Відсутній
м.Київ;Оболонський; вул. Полярна;3 (2-підїзд);50.5214694;30.4526721;Найпростіші укриття;Підвал;Житловий будинок;Економіст-72;Приватна;430-82-92;Відсутній
м.Київ;Оболонський; вул. Полярна;3 (3-підїзд);50.5218002;30.4528759;Найпростіші укриття;Підвал;Житловий будинок;Поліграфіст;Приватна;430-02-54;Відсутній
м.Київ;Оболонський; вул. Полярна;5;50.5196939;30.457273;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський; вул. Полярна;8-В;50.5161076;30.4633552;Найпростіші укриття;Підвал;Школа;ЗЗСО № 285;Комунальна;462-30-92;Відсутній
м.Київ;Оболонський; вул. Попова;12;50.5021333;30.4572316;Найпростіші укриття;Підвал;Житловий будинок;ОД-506;Комунальна;338-30-92;Відсутній
м.Київ;Оболонський; вул. Попова;15;50.5010021;30.4589072;Найпростіші укриття;Підвал;Житловий будинок;Квазар-11;Приватна;432-47-60;Відсутній
м.Київ;Оболонський; вул. Попова;17;50.50113133975538;30.459830526536695;Найпростіші укриття;Підвал;Житловий будинок;Квазар-11;Приватна;432-47-60;Відсутній
м.Київ;Оболонський; вул. Попова;6;50.5014903;30.4547245;Найпростіші укриття;Підвал;Житловий будинок;ОД-506;Комунальна;338-30-92;Відсутній
м.Київ;Оболонський; вул. Попова;9;50.5012074;30.4568997;Найпростіші укриття;Підвал;Житловий будинок;ОД-506;Комунальна;338-30-92;Відсутній
м.Київ;Оболонський; вул. Приозерна;4-А;50.4927341;30.5192805;Найпростіші укриття;Підвал;Житловий будинок;Оболонь-9;Приватна;410-13-26;Відсутній
м.Київ;Оболонський;вул. Прирічна 27-Г;;50.5237917;30.5203787;Найпростіші укриття;Підвал;Житловий будинок;Октава;Приватна;411-52-61;Відсутній
м.Київ;Оболонський; вул. Прирічна;27-Б;50.5224442;30.5183893;Найпростіші укриття;Підвал;Школа;НВК «Оболонь»;Комунальна;411-11-83;Відсутній
м.Київ;Оболонський; вул. Сімьї Кульженків;33;50.5212125;30.4669122;Найпростіші укриття;Підвал;Житловий будинок;«Яскравий-1»обсл. ТОВ;Приватна;067-156-67-30;Відсутній
м.Київ;Оболонський; вул. Сімьї Кульженків;35;50.52184608288071;30.466891467013703;Найпростіші укриття;Підвал;Житловий будинок;«Яскравий-2»обсл. ТОВ;Приватна;067-325-37-25;Відсутній
м.Київ;Оболонський; вул. Сокальського;4;50.501862;30.4536907;Найпростіші укриття;Підвал;Житловий будинок;ОД-506;Комунальна;338-30-92;Відсутній
м.Київ;Оболонський; вул. Тимошенка Маршала;2-Л;50.5059468;30.4882998;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;ОСББ «Чайка»;Приватна;545-61-50;В наявності
м.Київ;Оболонський; вул. Тимошенка Маршала;1-В;50.5109511;30.4857228;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-30-91;Відсутній
м.Київ;Оболонський; вул. Тимошенка Маршала;1-Г;50.5115651;30.4859481;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Тимошенка Маршала;11;50.509564;30.4916399;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський; вул. Тимошенка Маршала;13-А;50.51197330066707;30.492489326537218;Найпростіші укриття;Підвал;Житловий будинок;«Тимошенка 13а»;Приватна;067-901-16-39;Відсутній
