"city";"district";"address";"address_number";"latitude";"longitude";"closure_type";"shelter_type";"building_type";"owner";"ownership_type";"phone";"ramp"
"м.Київ";"Печерський";" вул. Кловський узвіз";"18";"50.4368723";"30.539378";"Найпростіші укриття";"Підвал";"житловий будинок";"ЖБК ""Металіст""";"Приватна";"050 929 01 31";"Відсутній"
"м.Київ";"Печерський";" вул. Кловський узвіз";"24";"50.43609";"30.54327";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Кловський узвіз";"4";"50.4423311";"30.5380998";"Найпростіші укриття";"Підвал";"житловий будинок";"ПП ""Расвєт-інвест""";"Інша";"098 108 06 08";"Відсутній"
"м.Київ";"Печерський";" вул. Кловський узвіз";"5";"50.4424657";"30.5390552";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Житлосервіс""";"Приватна";"050 411 83 02";"В наявності"
"м.Київ";"Печерський";" вул. Кловський узвіз";"6";"50.44171";"30.53822";"Подвійного призначення";"Підвал";"житловий будинок";"Земляк";"Приватна";"097 902 08 37";"Відсутній"
"м.Київ";"Печерський";" вул. Кловський узвіз";"7-А";"50.438914";"30.5392432";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Житлосервіс""";"Приватна";"050 411 83 02";"В наявності"
"м.Київ";"Печерський";" вул. Ковпака";"17";"50.4174601";"30.5247349";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Рада""";"Приватна";"572 29 80";"В наявності"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"25";"50.4276719";"30.5293524";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"29";"50.4281984";"30.5307202";"Найпростіші укриття";"Підвал";"житловий будинок";"ПАТ ""НАСК ""Оранта""";"Приватна";"067 423 17 42";"Відсутній"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"29-А";"50.4290068";"30.5306854";"Найпростіші укриття";"Підвал";"житловий будинок";"Челікташ Дженіз";"Приватна";"063 165 58 88";"Відсутній"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"3";"50.4235662";"30.5197778";"Найпростіші укриття";"Підвал";"житловий будинок";"Киркоров С.П.";"Приватна";"050 469 38 19";"Відсутній"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"32-А";"50.4269127";"30.5316549";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ЖЕП ""Щорса""";"Приватна";"068 470 03 05";"В наявності"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"32-Б";"50.42604";"30.53252";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ЖЕП ""Щорса""";"Приватна";"068 470 03 05";"В наявності"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"32-Г";"50.42573";"30.53091";"Подвійного призначення";"Інше";"житловий будинок";"ОСББ ""Печерська мрія""";"Приватна";"067 803 23 89";"Відсутній"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"36-А";"50.4248897";"30.5352564";"Подвійного призначення";"Підземний паркінг";"гуртожиток";"Київський національний університет культури і мистецтва ";"Інша";"529 12 44";"Відсутній"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"36-Б";"50.4256177";"30.534842";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Житлосервіс""";"Приватна";"050.411 83 02";"В наявності"
