city;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Шевченківський; вул. Ружинська;18;50.4696973;30.4104932;Подвійного призначення;Підвал;Житловий будинок;Кабась Юрій Олександрович;Приватна;097-657-75-48;Відсутній
м.Київ;Шевченківський; вул. Ружинська;20/54;50.4696827;30.412039;Подвійного призначення;Підвал;Житловий будинок;ПП «Кафе»;Приватна;067-101-45-71;Відсутній
м.Київ;Шевченківський; вул. Ружинська;26;50.4696898;30.4142371;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-101-45-71;Відсутній
м.Київ;Шевченківський; вул. Саксаганського;109;50.4413049;30.4991646;Подвійного призначення;Підвал;Житловий будинок;ТОВ «ГОдинін і К»;Приватна;067-252-39-62;Відсутній
м.Київ;Шевченківський; вул. Саксаганського;117;50.4419202;30.4985334;Подвійного призначення;Підвал;Житловий будинок;ФО Жила;Приватна;067-405-44-15;Відсутній
м.Київ;Шевченківський; вул. Саксаганського;129-А;50.4428743;30.4975306;Подвійного призначення;Підвал;Житловий будинок;ФО Алексєєв;Приватна;050-410-81-51;Відсутній
м.Київ;Шевченківський; вул. Саксаганського;131-А;50.44306;30.49722;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Укрсимсервіс;Приватна;050-410-81-51;Відсутній
м.Київ;Шевченківський; вул. Салютна;17;50.472482;30.4092068;Подвійного призначення;Підвал;Житловий будинок;ТОВ «ЕДЕМ»;Приватна;050-331-33-12;Відсутній
м.Київ;Шевченківський; вул. Салютна;4-А;50.4717851;30.4087744;Подвійного призначення;Підвал;Житловий будинок;ПП Ковальчук;Приватна;067-220-02-25;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;10;50.4562207;30.5047337;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-751-31-29;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;12;50.4564583;30.5030866;Подвійного призначення;Підвал;Житловий будинок;ФО Новосод С;Приватна;272-23-98;Відсутній
